Column A,Column B,Serial No.,Column D,Column E,Player Name,Column G,Column H,Column I,Contract Price(USD),Column K,Column L,Player Position,Club Name,League Name,Column P,Country,Club Contract Start Date,Club Contract End Date,Club %,Club Starting No,Date of birth of the player
0,0,1,0,0,Toya Izumi,0,0,0,$55Th.,0,0,midfield,Vissel Kobe,J1 League,0,Japan,"Feb 18, 2022",-,0,0,"Dec 2, 2000(21)"
0,0,2,0,0,Shogo Terasaka,0,0,0,$55Th.,0,0,defence,Vissel Kobe,J1 League,0,Japan,-,-,0,0,"Jun 6, 2004(17)"
0,0,3,0,0,Koki Sotetsu,0,0,0,-,0,0,attack,Vissel Kobe,J1 League,0,Japan,-,-,0,0,"May 24, 2004(18)"
0,0,4,0,0,Shuto Adachi,0,0,0,-,0,0,midfield,Vissel Kobe,J1 League,0,Japan,-,-,0,0,"Jul 15, 2004(17)"
0,0,5,0,0,Niina Tominaga,0,0,0,-,0,0,attack,Vissel Kobe,J1 League,0,Japan,-,-,0,0,"Jul 18, 2004(17)"
0,0,6,0,0,Daiya Maekawa,0,0,0,$440Th.,0,0,Goalkeeper,Vissel Kobe,J1 League,0,Japan,"Feb 4, 2017","Jan 31, 2023",0,0,"Sep 8, 1994(27)"
0,0,7,0,0,Ryotaro Hironaga,0,0,0,$83Th.,0,0,Goalkeeper,Vissel Kobe,J1 League,0,Japan,"Jan 9, 2021","Jan 31, 2023",0,0,"Jan 9, 1990(32)"
0,0,8,0,0,Sosuke Tamura,0,0,0,-,0,0,Goalkeeper,Vissel Kobe,J1 League,0,Japan,-,-,0,0,"Aug 9, 2004(17)"
0,0,9,0,0,Yuki Kobayashi,0,0,0,$660Th.,0,0,Centre-Back,Vissel Kobe,J1 League,0,Japan,"Feb 1, 2019","Jan 31, 2023",0,0,"Jul 18, 2000(21)"
0,0,10,0,0,Leo Osaki,0,0,0,$440Th.,0,0,Centre-Back,Vissel Kobe,J1 League,0,Japan,"Jul 16, 2018","Jan 31, 2023",0,0,"Jul 8, 1991(30)"
0,0,11,0,0,Ryo Hatsuse,0,0,0,$605Th.,0,0,Left-Back,Vissel Kobe,J1 League,0,Japan,"Jan 5, 2019","Jan 31, 2023",0,0,"Jul 10, 1997(24)"
0,0,12,0,0,Nagisa Sakurauchi,0,0,0,$248Th.,0,0,Right-Back,Vissel Kobe,J1 League,0,Japan,"Jan 9, 2021","Jan 31, 2023",0,0,"Aug 11, 1989(32)"
0,0,13,0,0,Sergi Samper,0,0,0,$1.10m,0,0,Defensive Midfield,Vissel Kobe,J1 League,0,Spain,"Mar 7, 2019","Jan 31, 2023",0,0,"Jan 20, 1995(27)"
0,0,14,0,0,Kento Hashimoto,0,0,0,$2.75m,0,0,Central Midfield,Vissel Kobe,J1 League,0,Japan,"Mar 27, 2022","Jun 30, 2022",0,0,"Aug 16, 1993(28)"
0,0,15,0,0,Yuta Goke,0,0,0,$990Th.,0,0,Central Midfield,Vissel Kobe,J1 League,0,Japan,"Feb 1, 2018","Jan 31, 2023",0,0,"Jun 10, 1999(22)"
0,0,16,0,0,Koya Yuruki,0,0,0,$770Th.,0,0,Left Midfield,Vissel Kobe,J1 League,0,Japan,"Jan 9, 2022","Jan 31, 2023",0,0,"Jul 3, 1995(26)"
0,0,17,0,0,Daiju Sasaki,0,0,0,$440Th.,0,0,Attacking Midfield,Vissel Kobe,J1 League,0,Japan,"Feb 1, 2018","Jan 31, 2023",0,0,"Sep 17, 1999(22)"
0,0,18,0,0,Bojan Krkic,0,0,0,$770Th.,0,0,Second Striker,Vissel Kobe,J1 League,0,Spain,"Aug 9, 2021","Jan 31, 2023",0,0,"Aug 28, 1990(31)"
0,0,19,0,0,Lincoln,0,0,0,$2.64m,0,0,Centre-Forward,Vissel Kobe,J1 League,0,Brazil,"Jan 20, 2021","Jan 31, 2024",0,0,"Dec 16, 2000(21)"
0,0,20,0,0,Noriaki Fujimoto,0,0,0,$495Th.,0,0,Centre-Forward,Vissel Kobe,J1 League,0,Japan,"Aug 7, 2019","Jan 31, 2023",0,0,"Aug 19, 1989(32)"
0,0,21,0,0,Mikaze Nagasawa,0,0,0,$55Th.,0,0,midfield,Vissel Kobe,J1 League,0,Japan,-,-,0,0,"Jan 25, 2005(17)"
0,0,22,0,0,Yusei Ozaki,0,0,0,$55Th.,0,0,defence,Vissel Kobe,J1 League,0,Japan,"Feb 1, 2022",-,0,0,"Jul 26, 2003(18)"
0,0,23,0,0,Shunta Hirohata,0,0,0,-,0,0,defence,Vissel Kobe,J1 League,0,Japan,-,-,0,0,"Jun 21, 2005(16)"
0,0,24,0,0,Ko Tashiro,0,0,0,-,0,0,defence,Vissel Kobe,J1 League,0,Japan,-,-,0,0,"Jun 3, 2004(17)"
0,0,25,0,0,Mitsuki Hidaka,0,0,0,-,0,0,midfield,Vissel Kobe,J1 League,0,Japan,"Apr 1, 2022","Jan 31, 2025",0,0,"May 11, 2003(19)"
0,0,26,0,0,Hiroki Iikura,0,0,0,$275Th.,0,0,Goalkeeper,Vissel Kobe,J1 League,0,Japan,"Jul 26, 2019","Jan 31, 2023",0,0,"Jun 1, 1986(35)"
0,0,27,0,0,Yuya Tsuboi,0,0,0,$55Th.,0,0,Goalkeeper,Vissel Kobe,J1 League,0,Japan,"Feb 1, 2022",-,0,0,"Aug 23, 1999(22)"
0,0,28,0,0,Tomoaki Makino,0,0,0,$1.05m,0,0,Centre-Back,Vissel Kobe,J1 League,0,Japan,"Jan 9, 2022","Jan 31, 2023",0,0,"May 11, 1987(35)"
0,0,29,0,0,Ryuho Kikuchi,0,0,0,$660Th.,0,0,Centre-Back,Vissel Kobe,J1 League,0,Japan,"Jan 4, 2020","Jan 31, 2025",0,0,"Dec 9, 1996(25)"
0,0,30,0,0,Gotoku Sakai,0,0,0,$1.54m,0,0,Left-Back,Vissel Kobe,J1 League,0,Japan,"Aug 14, 2019","Jan 31, 2023",0,0,"Mar 14, 1991(31)"
0,0,31,0,0,Tetsushi Yamakawa,0,0,0,$440Th.,0,0,Right-Back,Vissel Kobe,J1 League,0,Japan,"Feb 1, 2020","Jan 31, 2023",0,0,"Oct 1, 1997(24)"
