,clubsNames,clubLinkArray,clubSquad,clubAge,clubForeigners,clubMarketValue,clubTotalMarketValue
0,Vissel Kobe,https://www.transfermarkt.us/vissel-kobe/startseite/verein/3958/saison_id/2021,40,24.7,4,$661Th.,$26.46m
1,Urawa Red Diamonds,https://www.transfermarkt.us/urawa-red-diamonds/startseite/verein/828/saison_id/2021,32,24.8,4,$792Th.,$25.36m
2,Kawasaki Frontale,https://www.transfermarkt.us/kawasaki-frontale/startseite/verein/9598/saison_id/2021,31,26.9,6,$735Th.,$22.77m
3,Kashima Antlers,https://www.transfermarkt.us/kashima-antlers/startseite/verein/2241/saison_id/2021,31,24.7,7,$719Th.,$22.30m
4,Yokohama F. Marinos,https://www.transfermarkt.us/yokohama-f-marinos/startseite/verein/3828/saison_id/2021,30,25.5,5,$693Th.,$20.79m
5,Cerezo Osaka,https://www.transfermarkt.us/cerezo-osaka/startseite/verein/1022/saison_id/2021,34,25.9,6,$597Th.,$20.31m
6,Nagoya Grampus,https://www.transfermarkt.us/nagoya-grampus/startseite/verein/1066/saison_id/2021,36,25.5,5,$562Th.,$20.24m
7,Shimizu S-Pulse,https://www.transfermarkt.us/shimizu-s-pulse/startseite/verein/1062/saison_id/2021,38,24.5,7,$516Th.,$19.61m
8,FC Tokyo,https://www.transfermarkt.us/fc-tokyo/startseite/verein/6631/saison_id/2021,43,24.9,6,$430Th.,$18.48m
9,Gamba Osaka,https://www.transfermarkt.us/gamba-osaka/startseite/verein/596/saison_id/2021,34,25.6,7,$515Th.,$17.52m
10,Sanfrecce Hiroshima,https://www.transfermarkt.us/sanfrecce-hiroshima/startseite/verein/2697/saison_id/2021,37,25.6,4,$465Th.,$17.19m
11,Hokkaido Consadole Sapporo,https://www.transfermarkt.us/hokkaido-consadole-sapporo/startseite/verein/16032/saison_id/2021,33,25.9,4,$449Th.,$14.82m
12,Avispa Fukuoka,https://www.transfermarkt.us/avispa-fukuoka/startseite/verein/9597/saison_id/2021,32,27.0,4,$455Th.,$14.55m
13,Kyoto Sanga,https://www.transfermarkt.us/kyoto-sanga/startseite/verein/593/saison_id/2021,37,24.7,5,$386Th.,$14.27m
14,Júbilo Iwata,https://www.transfermarkt.us/jubilo-iwata/startseite/verein/937/saison_id/2021,31,27.6,4,$449Th.,$13.92m
15,Kashiwa Reysol,https://www.transfermarkt.us/kashiwa-reysol/startseite/verein/6632/saison_id/2021,37,25.0,6,$358Th.,$13.23m
16,Shonan Bellmare,https://www.transfermarkt.us/shonan-bellmare/startseite/verein/8457/saison_id/2021,35,25.3,2,$362Th.,$12.68m
17,Sagan Tosu,https://www.transfermarkt.us/sagan-tosu/startseite/verein/22177/saison_id/2021,37,25.5,6,$303Th.,$11.22m
